date,tone,volume,positive_mentions,negative_mentions,neutral_mentions,status
20251228T091500Z,-2.1682,0,0,0,0,success
20251228T093000Z,0,0,0,0,0,success
20251228T094500Z,0.5292,0,0,0,0,success
20251228T100000Z,-1.0789,0,0,0,0,success
20251228T101500Z,-1.0724,0,0,0,0,success
20251228T103000Z,0,0,0,0,0,success
20251228T104500Z,0.6993,0,0,0,0,success
20251228T110000Z,-4.9112,0,0,0,0,success
20251228T111500Z,0,0,0,0,0,success
20251228T113000Z,-2.1841,0,0,0,0,success
20251228T114500Z,0,0,0,0,0,success
20251228T120000Z,0,0,0,0,0,success
20251228T123000Z,-2.2414,0,0,0,0,success
20251228T124500Z,-0.1539,0,0,0,0,success
20251228T130000Z,0,0,0,0,0,success
20251228T131500Z,-3.1056,0,0,0,0,success
20251228T133000Z,-1.6835,0,0,0,0,success
20251228T134500Z,1.6069,0,0,0,0,success
20251228T140000Z,-2.0136,0,0,0,0,success
20251228T141500Z,-1.7578,0,0,0,0,success
20251228T143000Z,-1.3218,0,0,0,0,success
20251228T144500Z,-0.3752,0,0,0,0,success
20251228T150000Z,0,0,0,0,0,success
20251228T151500Z,0.6529,0,0,0,0,success
20251228T153000Z,-3.1403,0,0,0,0,success
20251228T154500Z,1.2859,0,0,0,0,success
20251228T160000Z,0.5344,0,0,0,0,success
20251228T161500Z,0,0,0,0,0,success
20251228T163000Z,0,0,0,0,0,success
20251228T170000Z,1.8265,0,0,0,0,success
20251228T171500Z,1.3407,0,0,0,0,success
20251228T173000Z,-0.9004,0,0,0,0,success
20251228T174500Z,-1.3726,0,0,0,0,success
20251228T180000Z,-2.3071,0,0,0,0,success
20251228T181500Z,-2.0822,0,0,0,0,success
20251228T183000Z,-2.0396,0,0,0,0,success
20251228T184500Z,-1.5519,0,0,0,0,success
20251228T191500Z,-2.3308,0,0,0,0,success
20251228T193000Z,1.3922,0,0,0,0,success
20251228T194500Z,-0.9395,0,0,0,0,success
20251228T200000Z,-1.1903,0,0,0,0,success
20251228T201500Z,-0.8652,0,0,0,0,success
20251228T203000Z,-1.1392,0,0,0,0,success
20251228T204500Z,-2.3387,0,0,0,0,success
20251228T210000Z,-1.7409,0,0,0,0,success
20251228T211500Z,-0.8206,0,0,0,0,success
20251228T213000Z,-1.9266,0,0,0,0,success
20251228T214500Z,-2.2229,0,0,0,0,success
20251228T220000Z,-1.5064,0,0,0,0,success
20251228T221500Z,2.4298,0,0,0,0,success
20251228T223000Z,-0.4688,0,0,0,0,success
20251228T224500Z,1.0848,0,0,0,0,success
20251228T230000Z,0,0,0,0,0,success
20251228T231500Z,-2.5668,0,0,0,0,success
20251228T233000Z,1.1196,0,0,0,0,success
20251228T234500Z,0.5457,0,0,0,0,success
20251229T000000Z,0,0,0,0,0,success
20251229T001500Z,-1.4286,0,0,0,0,success
20251229T010000Z,0.3149,0,0,0,0,success
20251229T011500Z,0,0,0,0,0,success
20251229T013000Z,-0.5803,0,0,0,0,success
20251229T014500Z,-2.9741,0,0,0,0,success
20251229T020000Z,-0.1282,0,0,0,0,success
20251229T021500Z,0.463,0,0,0,0,success
20251229T023000Z,0,0,0,0,0,success
20251229T024500Z,-1.1464,0,0,0,0,success
20251229T030000Z,0.524,0,0,0,0,success
20251229T031500Z,2.1126,0,0,0,0,success
20251229T033000Z,-3.7657,0,0,0,0,success
20251229T034500Z,-3.0615,0,0,0,0,success
20251229T040000Z,-1.2346,0,0,0,0,success
20251229T041500Z,-0.4698,0,0,0,0,success
20251229T043000Z,1.0766,0,0,0,0,success
20251229T044500Z,0,0,0,0,0,success
20251229T050000Z,0,0,0,0,0,success
20251229T051500Z,1.9394,0,0,0,0,success
20251229T053000Z,-0.6698,0,0,0,0,success
20251229T054500Z,-3.3967,0,0,0,0,success
20251229T060000Z,-1.2193,0,0,0,0,success
20251229T061500Z,0.3747,0,0,0,0,success
20251229T063000Z,0,0,0,0,0,success
20251229T064500Z,-0.2294,0,0,0,0,success
20251229T070000Z,1.4072,0,0,0,0,success
20251229T071500Z,-2.5688,0,0,0,0,success
20251229T073000Z,0.6881,0,0,0,0,success
20251229T074500Z,-2.2712,0,0,0,0,success
20251229T080000Z,-0.4485,0,0,0,0,success
20251229T081500Z,-0.0163,0,0,0,0,success
20251229T083000Z,1.8064,0,0,0,0,success
20251229T084500Z,0,0,0,0,0,success
20251229T090000Z,0,0,0,0,0,success
20251229T091500Z,0.0109,0,0,0,0,success
20251229T093000Z,0.3996,0,0,0,0,success
20251229T094500Z,0.9023,0,0,0,0,success
20251229T100000Z,-1.2901,0,0,0,0,success
20251229T101500Z,0,0,0,0,0,success
20251229T103000Z,0.5292,0,0,0,0,success
20251229T104500Z,-0.6652,0,0,0,0,success
20251229T110000Z,-0.0002,0,0,0,0,success
20251229T111500Z,0.9191,0,0,0,0,success
20251229T113000Z,0.9426,0,0,0,0,success
20251229T114500Z,0,0,0,0,0,success
20251229T120000Z,1.7254,0,0,0,0,success
20251229T121500Z,0.4651,0,0,0,0,success
20251229T123000Z,0,0,0,0,0,success
20251229T124500Z,-0.9368,0,0,0,0,success
20251229T130000Z,1.0246,0,0,0,0,success
20251229T131500Z,-1.2658,0,0,0,0,success
20251229T133000Z,-0.913,0,0,0,0,success
20251229T134500Z,-1.5681,0,0,0,0,success
20251229T140000Z,2.0251,0,0,0,0,success
20251229T141500Z,0,0,0,0,0,success
20251229T143000Z,-0.3466,0,0,0,0,success
20251229T144500Z,5.6738,0,0,0,0,success
20251229T150000Z,2.6079,0,0,0,0,success
20251229T154500Z,-1.4112,0,0,0,0,success
20251229T160000Z,0,0,0,0,0,success
20251229T161500Z,1.165,0,0,0,0,success
20251229T163000Z,3.0508,0,0,0,0,success
20251229T164500Z,-0.507,0,0,0,0,success
20251229T170000Z,-0.4971,0,0,0,0,success
20251229T171500Z,-0.3382,0,0,0,0,success
20251229T173000Z,0,0,0,0,0,success
20251229T180000Z,-1.069,0,0,0,0,success
20251229T181500Z,-0.2878,0,0,0,0,success
20251229T184500Z,0.536,0,0,0,0,success
20251229T190000Z,0,0,0,0,0,success
20251229T191500Z,-0.6305,0,0,0,0,success
20251229T193000Z,0,0,0,0,0,success
20251229T194500Z,1.3548,0,0,0,0,success
20251229T200000Z,0,0,0,0,0,success
20251229T201500Z,-0.8511,0,0,0,0,success
20251229T203000Z,0.078,0,0,0,0,success
20251229T204500Z,-1.2843,0,0,0,0,success
20251229T210000Z,1.3468,0,0,0,0,success
20251229T211500Z,0,0,0,0,0,success
20251229T213000Z,0.4372,0,0,0,0,success
20251229T214500Z,-0.6036,0,0,0,0,success
20251229T220000Z,-5.0891,0,0,0,0,success
20251229T223000Z,0,0,0,0,0,success
20251229T224500Z,0.211,0,0,0,0,success
20251229T230000Z,-0.4174,0,0,0,0,success
20251229T231500Z,-2.8717,0,0,0,0,success
20251229T233000Z,-1.6094,0,0,0,0,success
20251229T234500Z,0.5587,0,0,0,0,success
20251231T000000Z,-1.0117,0,0,0,0,success
20251231T001500Z,-1.3991,0,0,0,0,success
20251231T003000Z,-0.5167,0,0,0,0,success
20251231T004500Z,-0.9583,0,0,0,0,success
20251231T010000Z,0.1604,0,0,0,0,success
20251231T011500Z,-0.4839,0,0,0,0,success
20251231T013000Z,-2.4127,0,0,0,0,success
20251231T014500Z,-3.141,0,0,0,0,success
20251231T020000Z,-1.5654,0,0,0,0,success
20251231T021500Z,0,0,0,0,0,success
20251231T023000Z,-3.3451,0,0,0,0,success
20251231T024500Z,0,0,0,0,0,success
20251231T031500Z,0,0,0,0,0,success
20251231T033000Z,-2.2599,0,0,0,0,success
20251231T034500Z,-1.6224,0,0,0,0,success
20251231T041500Z,2.0746,0,0,0,0,success
20251231T043000Z,1.3953,0,0,0,0,success
20251231T044500Z,-0.5842,0,0,0,0,success
20251231T050000Z,-1.2048,0,0,0,0,success
20251231T051500Z,-0.6438,0,0,0,0,success
20251231T053000Z,-1.6682,0,0,0,0,success
20251231T054500Z,0,0,0,0,0,success
20251231T060000Z,-0.5473,0,0,0,0,success
20251231T061500Z,-0.8065,0,0,0,0,success
20251231T064500Z,-1.7313,0,0,0,0,success
20251231T070000Z,-0.1663,0,0,0,0,success
20251231T071500Z,0.2379,0,0,0,0,success
20251231T073000Z,-0.6329,0,0,0,0,success
20251231T074500Z,-2.0476,0,0,0,0,success
20251231T080000Z,-0.6537,0,0,0,0,success
20251231T081500Z,1.5518,0,0,0,0,success
20251231T083000Z,-0.1561,0,0,0,0,success
20251231T084500Z,1.7498,0,0,0,0,success
20251231T090000Z,-1.0785,0,0,0,0,success
20251231T091500Z,0.4234,0,0,0,0,success
20251231T093000Z,-0.2969,0,0,0,0,success
20251231T100000Z,-1.0727,0,0,0,0,success
20251231T101500Z,-3.7518,0,0,0,0,success
20251231T103000Z,0.6984,0,0,0,0,success
20251231T104500Z,0.7534,0,0,0,0,success
20251231T110000Z,-0.4942,0,0,0,0,success
20251231T111500Z,-3.9942,0,0,0,0,success
20251231T113000Z,-0.6692,0,0,0,0,success
20251231T114500Z,-0.2994,0,0,0,0,success
20251231T120000Z,-0.0249,0,0,0,0,success
20251231T121500Z,-0.0367,0,0,0,0,success
20251231T123000Z,0.2919,0,0,0,0,success
20251231T124500Z,0,0,0,0,0,success
20251231T130000Z,-0.8097,0,0,0,0,success
20251231T131500Z,-5.837,0,0,0,0,success
20251231T134500Z,0.8217,0,0,0,0,success
20251231T140000Z,1.2769,0,0,0,0,success
20251231T141500Z,1.9187,0,0,0,0,success
20251231T143000Z,-2.628,0,0,0,0,success
20251231T150000Z,0.672,0,0,0,0,success
20251231T151500Z,0.486,0,0,0,0,success
20251231T153000Z,0,0,0,0,0,success
20251231T154500Z,0.1523,0,0,0,0,success
20251231T161500Z,0,0,0,0,0,success
20251231T163000Z,0.121,0,0,0,0,success
20251231T164500Z,0.7537,0,0,0,0,success
20251231T170000Z,-0.0295,0,0,0,0,success
20251231T171500Z,0,0,0,0,0,success
20251231T173000Z,-0.316,0,0,0,0,success
20251231T174500Z,0.1802,0,0,0,0,success
20251231T180000Z,0,0,0,0,0,success
20251231T181500Z,-0.8108,0,0,0,0,success
20251231T183000Z,-1.3934,0,0,0,0,success
20251231T184500Z,0,0,0,0,0,success
20251231T190000Z,0.4338,0,0,0,0,success
20251231T191500Z,0,0,0,0,0,success
20251231T194500Z,0.0811,0,0,0,0,success
20251231T200000Z,-2.8376,0,0,0,0,success
20251231T201500Z,-1.3771,0,0,0,0,success
20251231T203000Z,-0.2175,0,0,0,0,success
20251231T204500Z,0,0,0,0,0,success
20251231T210000Z,1.8636,0,0,0,0,success
20251231T211500Z,-1.9395,0,0,0,0,success
20251231T213000Z,-2.092,0,0,0,0,success
20251231T214500Z,0.7954,0,0,0,0,success
20251231T221500Z,1.1494,0,0,0,0,success
20251231T223000Z,0.0291,0,0,0,0,success
20251231T224500Z,0.255,0,0,0,0,success
20251231T231500Z,-0.3806,0,0,0,0,success
20251231T233000Z,-0.11,0,0,0,0,success
20251231T234500Z,-2.3929,0,0,0,0,success
20260102T000000Z,-1.0114,0,0,0,0,success
20260102T001500Z,0,0,0,0,0,success
20260102T003000Z,0.7992,0,0,0,0,success
20260102T004500Z,0,0,0,0,0,success
20260102T010000Z,-0.6528,0,0,0,0,success
20260102T011500Z,-0.6758,0,0,0,0,success
20260102T013000Z,-1.0883,0,0,0,0,success
20260102T014500Z,0,0,0,0,0,success
20260102T020000Z,-3.3363,0,0,0,0,success
20260102T021500Z,-0.9108,0,0,0,0,success
20260102T024500Z,0,0,0,0,0,success
20260102T030000Z,1.7739,0,0,0,0,success
20260102T031500Z,0,0,0,0,0,success
20260102T033000Z,-1.1454,0,0,0,0,success
20260102T034500Z,0.1747,0,0,0,0,success
20260102T040000Z,-1.8918,0,0,0,0,success
20260102T041500Z,0,0,0,0,0,success
20260102T044500Z,-0.1319,0,0,0,0,success
20260102T050000Z,0.4274,0,0,0,0,success
20260102T051500Z,-1.5022,0,0,0,0,success
20260102T053000Z,-0.2283,0,0,0,0,success
20260102T054500Z,0,0,0,0,0,success
20260102T060000Z,-4.2607,0,0,0,0,success
20260102T063000Z,-0.4863,0,0,0,0,success
20260102T064500Z,0,0,0,0,0,success
20260102T070000Z,-0.1972,0,0,0,0,success
20260102T071500Z,4.9233,0,0,0,0,success
20260102T073000Z,-3.0353,0,0,0,0,success
20260102T080000Z,-2.2551,0,0,0,0,success
20260102T081500Z,0,0,0,0,0,success
20260102T083000Z,2.4043,0,0,0,0,success
20260102T084500Z,-1.3273,0,0,0,0,success
20260102T090000Z,-1.2939,0,0,0,0,success
20260102T091500Z,-0.888,0,0,0,0,success
20260102T093000Z,-2.0672,0,0,0,0,success
20260102T094500Z,0,0,0,0,0,success
20260102T100000Z,-0.3657,0,0,0,0,success
20260102T101500Z,0,0,0,0,0,success
20260102T103000Z,-2.9686,0,0,0,0,success
20260102T104500Z,-0.8203,0,0,0,0,success
20260102T110000Z,-0.7454,0,0,0,0,success
20260102T113000Z,0.0461,0,0,0,0,success
20260102T114500Z,0.8274,0,0,0,0,success
20260102T121500Z,0.3812,0,0,0,0,success
20260102T123000Z,1.7699,0,0,0,0,success
20260102T124500Z,0.5735,0,0,0,0,success
20260102T130000Z,0.042,0,0,0,0,success
20260102T131500Z,0.9786,0,0,0,0,success
20260102T133000Z,2.2869,0,0,0,0,success
20260102T134500Z,-2.5987,0,0,0,0,success
20260102T140000Z,0.5679,0,0,0,0,success
20260102T141500Z,1.519,0,0,0,0,success
20260102T143000Z,-0.1493,0,0,0,0,success
20260102T144500Z,-0.8361,0,0,0,0,success
20260102T150000Z,-1.3244,0,0,0,0,success
20260102T151500Z,0,0,0,0,0,success
20260102T153000Z,0,0,0,0,0,success
20260102T154500Z,1.3432,0,0,0,0,success
20260102T160000Z,-0.8058,0,0,0,0,success
20260102T161500Z,-3.5135,0,0,0,0,success
20260102T163000Z,0.5656,0,0,0,0,success
20260102T164500Z,0.0166,0,0,0,0,success
20260102T170000Z,-0.6231,0,0,0,0,success
20260102T171500Z,-0.5806,0,0,0,0,success
20260102T173000Z,-0.0663,0,0,0,0,success
20260102T174500Z,-2.5513,0,0,0,0,success
20260102T180000Z,0.4255,0,0,0,0,success
20260102T181500Z,-0.7228,0,0,0,0,success
20260102T183000Z,-1.2767,0,0,0,0,success
20260102T184500Z,1.3667,0,0,0,0,success
20260102T190000Z,0.8987,0,0,0,0,success
20260102T191500Z,2.3147,0,0,0,0,success
20260102T193000Z,-13.0435,0,0,0,0,success
20260102T194500Z,0.5389,0,0,0,0,success
20260102T200000Z,0,0,0,0,0,success
20260102T201500Z,-0.095,0,0,0,0,success
20260102T203000Z,-0.1269,0,0,0,0,success
20260102T204500Z,-0.0865,0,0,0,0,success
20260102T210000Z,0,0,0,0,0,success
20260102T213000Z,1.1811,0,0,0,0,success
20260102T214500Z,-1.5421,0,0,0,0,success
20260102T220000Z,-0.7499,0,0,0,0,success
20260102T221500Z,-1.9487,0,0,0,0,success
20260102T223000Z,-1.3035,0,0,0,0,success
20260102T224500Z,0,0,0,0,0,success
20260102T230000Z,-2.0199,0,0,0,0,success
20260102T231500Z,-0.4029,0,0,0,0,success
20260102T233000Z,-0.2266,0,0,0,0,success
20260102T234500Z,2.1722,0,0,0,0,success
20260105T000000Z,0,0,0,0,0,success
20260105T001500Z,1.4176,0,0,0,0,success
20260105T003000Z,3.0935,0,0,0,0,success
20260105T004500Z,-0.6243,0,0,0,0,success
20260105T010000Z,0,0,0,0,0,success
20260105T011500Z,-2.0484,0,0,0,0,success
20260105T013000Z,0,0,0,0,0,success
20260105T014500Z,-3.7574,0,0,0,0,success
20260105T020000Z,-0.751,0,0,0,0,success
20260105T021500Z,0,0,0,0,0,success
20260105T023000Z,-3.4644,0,0,0,0,success
20260105T024500Z,0,0,0,0,0,success
20260105T030000Z,-2.511,0,0,0,0,success
20260105T031500Z,-0.4256,0,0,0,0,success
20260105T033000Z,1.4102,0,0,0,0,success
20260105T034500Z,-1.6018,0,0,0,0,success
20260105T041500Z,-1.9089,0,0,0,0,success
20260105T043000Z,-0.3577,0,0,0,0,success
20260105T044500Z,0,0,0,0,0,success
20260105T050000Z,2.3372,0,0,0,0,success
20260105T051500Z,-2.2115,0,0,0,0,success
20260105T053000Z,-0.536,0,0,0,0,success
20260105T054500Z,1.1267,0,0,0,0,success
20260105T060000Z,-8.4656,0,0,0,0,success
20260105T061500Z,-0.8529,0,0,0,0,success
20260105T063000Z,0,0,0,0,0,success
20260105T064500Z,-1.6532,0,0,0,0,success
20260105T070000Z,-0.2499,0,0,0,0,success
20260105T071500Z,-1.5166,0,0,0,0,success
20260105T073000Z,0.9195,0,0,0,0,success
20260105T074500Z,-1.0882,0,0,0,0,success
20260105T080000Z,-1.1959,0,0,0,0,success
20260105T081500Z,-2.5125,0,0,0,0,success
20260105T083000Z,0,0,0,0,0,success
20260105T084500Z,-1.3425,0,0,0,0,success
20260105T090000Z,-0.6575,0,0,0,0,success
20260105T091500Z,-1.0511,0,0,0,0,success
20260105T093000Z,0.593,0,0,0,0,success
20260105T094500Z,0.3846,0,0,0,0,success
20260105T100000Z,-0.7983,0,0,0,0,success
20260105T103000Z,0,0,0,0,0,success
20260105T104500Z,-0.4693,0,0,0,0,success
20260105T110000Z,0.9521,0,0,0,0,success
20260105T111500Z,0.5155,0,0,0,0,success
20260105T113000Z,1.3872,0,0,0,0,success
20260105T114500Z,-1.621,0,0,0,0,success
20260105T120000Z,0.3338,0,0,0,0,success
20260105T121500Z,0.6117,0,0,0,0,success
20260105T123000Z,-0.2289,0,0,0,0,success
20260105T124500Z,0,0,0,0,0,success
20260105T130000Z,0.6345,0,0,0,0,success
20260105T133000Z,-0.5416,0,0,0,0,success
20260105T140000Z,-3.7135,0,0,0,0,success
20260105T141500Z,0,0,0,0,0,success
20260105T144500Z,4.7619,0,0,0,0,success
